e.name,e.internal_id
NOBELL EQUITIES CORP.,18704
FAMILY CIRCLE LTD.,200201
BELVUE PROPERTIES LIMITED,200120
GRANDINVEST ENTERPRISE S.A.,18292
ADVISORSMED CORP.,16759
BEDLEY ENTERPRISES INC.,18270
ELEC S.A.,2001236
WOLF ENTERPRISES S.A.,18307
UFX Markets Global Inc.,2002033
PEKER ENTERPRISES S.A.,18226
"LUCKY DRAGON INDUSTRIAL CO., LTD",2002009
"SUMGIA IMP&EXP CO., LTD",2002011
CHARRINGTON INTERNATIONAL INC.,1873
MACORIS INVESTMENTS CORP.,2002078
ZD GROUP INC,2001234
BANFF INVESTMENTS S.A.,18177
ALBERT AND JONES CONSOLIDATED CORPORATION,1694
GANTON SECURITIES INC.,15627
ELENILTO AFRICA LTD.,2001188
VASDEL CORP.,16934
Elly Ltd,2002080
SUTECH LTD.,200325
KNIGHTSBRIDGE SERVICES LIMITED S.A.,18295
LAUDERDALE DEVELOPMENT S.A.,16695
TRIDENT CORP.,200125
CANDID IMPORT AND EXPORT COMPANY LIMITED,2002025
METROPOLITAN CONSULTING INC.,200326
AMBERGATE MANAGEMENT LIMITED,2001250
TRACOLA INC.,16991
SEKAL INTERNATIONAL TRADING S.A.,17002
WEN HUANG DEVELOPMENT CORP.,17038
TITAN HOLDINGS INC.,1695
MATCHLOCK HOLDINGS INC.,18220
KAINA INC.,200318
LANSING PROPERTIES S.A.,16729
GARNET ROAD ENTERPRISES S.A.,16549
"Colourhut Fashion Imp.&Exp. Co., Ltd",2003198
"DALIAN NONGKEN BEIDAHUANG INTERNATIONAL TRADE CO., LTD.",2003221
TIMWELL INVESTMENTS INC.,16975
DRYMANOR CORP.,2001312
WAYLAND BUSINESS INC,17195
DECROSS INC.,14458
INTERFINANCE INVESTMENTS S.A.,16468
CAFE SHALOM S.A.,18668
MILLENIUM EQUITIES S.A.,18696
CONTINENTAL RESOURCE DEVELOPMENT S.A.,17034
SWANLEY ENTERPRISES S.A.,14952
PROTON HOLDINGS S.A.,15424
NUSRAT INVESTMENTS INC.,15035
ISO-TECH INTERNATIONAL INVESTMENTS S.A.,16676
EAST WEST IMPORT EXPORT INC.,1888
WAYLA PROPERTY S.A.,17157
BOUTONNIERE S.A.,15077
SALATEEN INTERNATIONAL CORPORATION,14299
DINCLER INC.,17186
ROEV FINANCE INC.,14808
MONTROSE MANAGEMENT INC.,14335
YELLOW LAKE INVESTMENTS S.A.,18869
BRANT MANAGEMENT S.A.,16536
MAXFEL CORPORATION,1476
FALBA INC.,16963
FROLCOM INC.,18736
WHITTLE INTERNATIONAL S.A.,18895
PEDIGRA INC.,16989
MARANA INC.,16992
EXINVEST CORPORATION,16617
ROGER INTERNATIONAL CORP.,16608
DIGITAL INVESTMENTS ASSOCIATES S.A.,17205
NADERLA INC.,16994
SanGuang Stone Trading Corporation,2001262
INGRID DEVELOPMENT S.A.,16551
ROSSPORT INVESTMENTS S.A.,16584
WORLDWIDE INVESTMENT SERVICES AND HOLDINGS INC.,18211
NORTHCOTE HOLDING INC.,17112
MARLOWE PARTNERS LTD.,200127
REGIS DEVELOPMENT S.A.,18260
